param fP :=
PV1NM 1W 6389 0.0
PV1NM 1W 6390 0.0
PV1NM 1W 6391 0.0592
PV1NM 1W 6392 0.2359
PV1NM 1W 6393 0.4057
PV1NM 1W 6394 0.5296
PV1NM 1W 6395 0.6053
PV1NM 1W 6396 0.6402
PV1NM 1W 6397 0.6296
PV1NM 1W 6398 0.5558
PV1NM 1W 6399 0.4666
PV1NM 1W 6400 0.3347
PV1NM 1W 6401 0.1667
PV1NM 1W 6402 0.0228
PV1NM 1W 6403 0.0
PV1NM 1W 6404 0.0
PV1NM 1W 6405 0.0
PV1NM 1W 6406 0.0
PV1NM 1W 6407 0.0
PV1NM 1W 6408 0.0
PV1NM 1W 6409 0.0
PV1NM 1W 6410 0.0
PV1NM 1W 6411 0.0
PV1NM 1W 6412 0.0
PV1NM 1W 6413 0.0
PV1NM 1W 6414 0.0
PV1NM 1W 6415 0.0579
PV1NM 1W 6416 0.2421
PV1NM 1W 6417 0.4134
PV1NM 1W 6418 0.5282
PV1NM 1W 6419 0.601
PV1NM 1W 6420 0.6092
PV1NM 1W 6421 0.6008
PV1NM 1W 6422 0.5484
PV1NM 1W 6423 0.4606
PV1NM 1W 6424 0.3377
PV1NM 1W 6425 0.1651
PV1NM 1W 6426 0.0214
PV1NM 1W 6427 0.0
PV1NM 1W 6428 0.0
PV1NM 1W 6429 0.0
PV1NM 1W 6430 0.0
PV1NM 1W 6431 0.0
PV1NM 1W 6432 0.0
PV1NM 1W 6433 0.0
PV1NM 1W 6434 0.0
PV1NM 1W 6435 0.0
PV1NM 1W 6436 0.0
PV1NM 1W 6437 0.0
PV1NM 1W 6438 0.0
PV1NM 1W 6439 0.0541
PV1NM 1W 6440 0.2286
PV1NM 1W 6441 0.3974
PV1NM 1W 6442 0.5218
PV1NM 1W 6443 0.6081
PV1NM 1W 6444 0.1853
PV1NM 1W 6445 0.3263
PV1NM 1W 6446 0.4385
PV1NM 1W 6447 0.212
PV1NM 1W 6448 0.2984
PV1NM 1W 6449 0.1448
PV1NM 1W 6450 0.0155
PV1NM 1W 6451 0.0
PV1NM 1W 6452 0.0
PV1NM 1W 6453 0.0
PV1NM 1W 6454 0.0
PV1NM 1W 6455 0.0
PV1NM 1W 6456 0.0
PV1NM 1W 6457 0.0
PV1NM 1W 6458 0.0
PV1NM 1W 6459 0.0
PV1NM 1W 6460 0.0
PV1NM 1W 6461 0.0
PV1NM 1W 6462 0.0
PV1NM 1W 6463 0.0519
PV1NM 1W 6464 0.2254
PV1NM 1W 6465 0.4048
PV1NM 1W 6466 0.5406
PV1NM 1W 6467 0.6256
PV1NM 1W 6468 0.6599
PV1NM 1W 6469 0.6453
PV1NM 1W 6470 0.5788
PV1NM 1W 6471 0.4754
PV1NM 1W 6472 0.2514
PV1NM 1W 6473 0.1492
PV1NM 1W 6474 0.0142
PV1NM 1W 6475 0.0
PV1NM 1W 6476 0.0
PV1NM 1W 6477 0.0
PV1NM 1W 6478 0.0
PV1NM 1W 6479 0.0
PV1NM 1W 6480 0.0
PV1NM 1W 6481 0.0
PV1NM 1W 6482 0.0
PV1NM 1W 6483 0.0
PV1NM 1W 6484 0.0
PV1NM 1W 6485 0.0
PV1NM 1W 6486 0.0
PV1NM 1W 6487 0.051
PV1NM 1W 6488 0.2295
PV1NM 1W 6489 0.4082
PV1NM 1W 6490 0.5402
PV1NM 1W 6491 0.6208
PV1NM 1W 6492 0.6569
PV1NM 1W 6493 0.6474
PV1NM 1W 6494 0.5893
PV1NM 1W 6495 0.4878
PV1NM 1W 6496 0.3354
PV1NM 1W 6497 0.1535
PV1NM 1W 6498 0.0147
PV1NM 1W 6499 0.0
PV1NM 1W 6500 0.0
PV1NM 1W 6501 0.0
PV1NM 1W 6502 0.0
PV1NM 1W 6503 0.0
PV1NM 1W 6504 0.0
PV1NM 1W 6505 0.0
PV1NM 1W 6506 0.0
PV1NM 1W 6507 0.0
PV1NM 1W 6508 0.0
PV1NM 1W 6509 0.0
PV1NM 1W 6510 0.0
PV1NM 1W 6511 0.0501
PV1NM 1W 6512 0.2299
PV1NM 1W 6513 0.4142
PV1NM 1W 6514 0.5414
PV1NM 1W 6515 0.605
PV1NM 1W 6516 0.6356
PV1NM 1W 6517 0.6226
PV1NM 1W 6518 0.5669
PV1NM 1W 6519 0.4683
PV1NM 1W 6520 0.3317
PV1NM 1W 6521 0.1505
PV1NM 1W 6522 0.0131
PV1NM 1W 6523 0.0
PV1NM 1W 6524 0.0
PV1NM 1W 6525 0.0
PV1NM 1W 6526 0.0
PV1NM 1W 6527 0.0
PV1NM 1W 6528 0.0
PV1NM 1W 6529 0.0
PV1NM 1W 6530 0.0
PV1NM 1W 6531 0.0
PV1NM 1W 6532 0.0
PV1NM 1W 6533 0.0
PV1NM 1W 6534 0.0
PV1NM 1W 6535 0.0478
PV1NM 1W 6536 0.2283
PV1NM 1W 6537 0.4027
PV1NM 1W 6538 0.5312
PV1NM 1W 6539 0.6213
PV1NM 1W 6540 0.6564
PV1NM 1W 6541 0.6436
PV1NM 1W 6542 0.5831
PV1NM 1W 6543 0.4817
PV1NM 1W 6544 0.3283
PV1NM 1W 6545 0.1471
PV1NM 1W 6546 0.0107
PV1NM 1W 6547 0.0
PV1NM 1W 6548 0.0
PV1NM 1W 6549 0.0
PV1NM 1W 6550 0.0
PV1NM 1W 6551 0.0
PV1NM 1W 6552 0.0
PV1NM 1W 6553 0.0
PV1NM 1W 6554 0.0
PV1NM 1W 6555 0.0
PV1NM 1W 6556 0.0
PV1NM 1W 6557 0.0
PV1NM 1W 6558 0.0
PV1NM 1W 6559 0.0469
PV1NM 1W 6560 0.2204
PV1NM 1W 6561 0.3879
PV1NM 1W 6562 0.5067
PV1NM 1W 6563 0.5808
PV1NM 1W 6564 0.6297
PV1NM 1W 6565 0.6168
PV1NM 1W 6566 0.5597
PV1NM 1W 6567 0.4625
PV1NM 1W 6568 0.3192
PV1NM 1W 6569 0.1419
PV1NM 1W 6570 0.008
PV1NM 1W 6571 0.0
PV1NM 1W 6572 0.0
PV1NM 1W 6573 0.0
PV1NM 1W 6574 0.0
PV1NM 1W 6575 0.0
PV1NM 1W 6576 0.0
PV1NM 1W 6577 0.0
PV1NM 1W 6578 0.0
PV1NM 1W 6579 0.0
PV1NM 1W 6580 0.0
PV1NM 1W 6581 0.0
PV1NM 1W 6582 0.0
PV1NM 1W 6583 0.0452
PV1NM 1W 6584 0.2165
PV1NM 1W 6585 0.3907
PV1NM 1W 6586 0.5192
PV1NM 1W 6587 0.5937
PV1NM 1W 6588 0.6245
PV1NM 1W 6589 0.5582
PV1NM 1W 6590 0.1125
PV1NM 1W 6591 0.2725
PV1NM 1W 6592 0.0067
PV1NM 1W 6593 0.1011
PV1NM 1W 6594 0.0
PV1NM 1W 6595 0.0
PV1NM 1W 6596 0.0
PV1NM 1W 6597 0.0
PV1NM 1W 6598 0.0
PV1NM 1W 6599 0.0
PV1NM 1W 6600 0.0
PV1NM 1W 6601 0.0
PV1NM 1W 6602 0.0
PV1NM 1W 6603 0.0
PV1NM 1W 6604 0.0
PV1NM 1W 6605 0.0
PV1NM 1W 6606 0.0
PV1NM 1W 6607 0.044
PV1NM 1W 6608 0.2069
PV1NM 1W 6609 0.3765
PV1NM 1W 6610 0.5076
PV1NM 1W 6611 0.5888
PV1NM 1W 6612 0.5482
PV1NM 1W 6613 0.547
PV1NM 1W 6614 0.3737
PV1NM 1W 6615 0.2305
PV1NM 1W 6616 0.1677
PV1NM 1W 6617 0.063
PV1NM 1W 6618 0.0
PV1NM 1W 6619 0.0
PV1NM 1W 6620 0.0
PV1NM 1W 6621 0.0
PV1NM 1W 6622 0.0
PV1NM 1W 6623 0.0
PV1NM 1W 6624 0.0
PV1NM 1W 6625 0.0
PV1NM 1W 6626 0.0
PV1NM 1W 6627 0.0
PV1NM 1W 6628 0.0
PV1NM 1W 6629 0.0
PV1NM 1W 6630 0.0
PV1NM 1W 6631 0.039
PV1NM 1W 6632 0.179
PV1NM 1W 6633 0.1995
PV1NM 1W 6634 0.376
PV1NM 1W 6635 0.4398
PV1NM 1W 6636 0.5696
PV1NM 1W 6637 0.4407
PV1NM 1W 6638 0.3402
PV1NM 1W 6639 0.3275
PV1NM 1W 6640 0.01
PV1NM 1W 6641 0.0
PV1NM 1W 6642 0.0
PV1NM 1W 6643 0.0
PV1NM 1W 6644 0.0
PV1NM 1W 6645 0.0
PV1NM 1W 6646 0.0
PV1NM 1W 6647 0.0
PV1NM 1W 6648 0.0
PV1NM 1W 6649 0.0
PV1NM 1W 6650 0.0
PV1NM 1W 6651 0.0
PV1NM 1W 6652 0.0
PV1NM 1W 6653 0.0
PV1NM 1W 6654 0.0
PV1NM 1W 6655 0.0128
PV1NM 1W 6656 0.1184
PV1NM 1W 6657 0.2516
PV1NM 1W 6658 0.3505
PV1NM 1W 6659 0.5352
PV1NM 1W 6660 0.5593
PV1NM 1W 6661 0.5257
PV1NM 1W 6662 0.0918
PV1NM 1W 6663 0.0045
PV1NM 1W 6664 0.1262
PV1NM 1W 6665 0.0072
PV1NM 1W 6666 0.0
PV1NM 1W 6667 0.0
PV1NM 1W 6668 0.0
PV1NM 1W 6669 0.0
PV1NM 1W 6670 0.0
PV1NM 1W 6671 0.0
PV1NM 1W 6672 0.0
PV1NM 1W 6673 0.0
PV1NM 1W 6674 0.0
PV1NM 1W 6675 0.0
PV1NM 1W 6676 0.0
PV1NM 1W 6677 0.0
PV1NM 1W 6678 0.0
PV1NM 1W 6679 0.0419
PV1NM 1W 6680 0.2177
PV1NM 1W 6681 0.4073
PV1NM 1W 6682 0.5524
PV1NM 1W 6683 0.5159
PV1NM 1W 6684 0.69
PV1NM 1W 6685 0.3913
PV1NM 1W 6686 0.214
PV1NM 1W 6687 0.4939
PV1NM 1W 6688 0.3241
PV1NM 1W 6689 0.0819
PV1NM 1W 6690 0.0
PV1NM 1W 6691 0.0
PV1NM 1W 6692 0.0
PV1NM 1W 6693 0.0
PV1NM 1W 6694 0.0
PV1NM 1W 6695 0.0
PV1NM 1W 6696 0.0
PV1NM 1W 6697 0.0
PV1NM 1W 6698 0.0
PV1NM 1W 6699 0.0
PV1NM 1W 6700 0.0
PV1NM 1W 6701 0.0
PV1NM 1W 6702 0.0
PV1NM 1W 6703 0.0396
PV1NM 1W 6704 0.2113
PV1NM 1W 6705 0.3979
PV1NM 1W 6706 0.536
PV1NM 1W 6707 0.6219
PV1NM 1W 6708 0.6591
PV1NM 1W 6709 0.6442
PV1NM 1W 6710 0.5735
PV1NM 1W 6711 0.4644
PV1NM 1W 6712 0.3057
PV1NM 1W 6713 0.1216
PV1NM 1W 6714 0.0
PV1NM 1W 6715 0.0
PV1NM 1W 6716 0.0
PV1NM 1W 6717 0.0
PV1NM 1W 6718 0.0
PV1NM 1W 6719 0.0
PV1NM 1W 6720 0.0
PV1NM 1W 6721 0.0
PV1NM 1W 6722 0.0
PV1NM 1W 6723 0.0
PV1NM 1W 6724 0.0
PV1NM 1W 6725 0.0
PV1NM 1W 6726 0.0
PV1NM 1W 6727 0.0387
PV1NM 1W 6728 0.2067
PV1NM 1W 6729 0.3871
PV1NM 1W 6730 0.5245
PV1NM 1W 6731 0.6127
PV1NM 1W 6732 0.6507
PV1NM 1W 6733 0.6287
PV1NM 1W 6734 0.5646
PV1NM 1W 6735 0.4578
PV1NM 1W 6736 0.2983
PV1NM 1W 6737 0.1157
PV1NM 1W 6738 0.0
PV1NM 1W 6739 0.0
PV1NM 1W 6740 0.0
PV1NM 1W 6741 0.0
PV1NM 1W 6742 0.0
PV1NM 1W 6743 0.0
PV1NM 1W 6744 0.0
PV1NM 1W 6745 0.0
PV1NM 1W 6746 0.0
PV1NM 1W 6747 0.0
PV1NM 1W 6748 0.0
PV1NM 1W 6749 0.0
PV1NM 1W 6750 0.0
PV1NM 1W 6751 0.0061
PV1NM 1W 6752 0.0542
PV1NM 1W 6753 0.1019
PV1NM 1W 6754 0.123
PV1NM 1W 6755 0.2176
PV1NM 1W 6756 0.3602
PV1NM 1W 6757 0.6535
PV1NM 1W 6758 0.5831
PV1NM 1W 6759 0.4677
PV1NM 1W 6760 0.304
PV1NM 1W 6761 0.115
PV1NM 1W 6762 0.0
PV1NM 1W 6763 0.0
PV1NM 1W 6764 0.0
PV1NM 1W 6765 0.0
PV1NM 1W 6766 0.0
PV1NM 1W 6767 0.0
PV1NM 1W 6768 0.0
PV1NM 1W 6769 0.0
PV1NM 1W 6770 0.0
PV1NM 1W 6771 0.0
PV1NM 1W 6772 0.0
PV1NM 1W 6773 0.0
PV1NM 1W 6774 0.0
PV1NM 1W 6775 0.0005
PV1NM 1W 6776 0.028
PV1NM 1W 6777 0.0367
PV1NM 1W 6778 0.1896
PV1NM 1W 6779 0.1811
PV1NM 1W 6780 0.1843
PV1NM 1W 6781 0.2211
PV1NM 1W 6782 0.1429
PV1NM 1W 6783 0.1647
PV1NM 1W 6784 0.0473
PV1NM 1W 6785 0.033
PV1NM 1W 6786 0.0
PV1NM 1W 6787 0.0
PV1NM 1W 6788 0.0
PV1NM 1W 6789 0.0
PV1NM 1W 6790 0.0
PV1NM 1W 6791 0.0
PV1NM 1W 6792 0.0
PV1NM 1W 6793 0.0
PV1NM 1W 6794 0.0
PV1NM 1W 6795 0.0
PV1NM 1W 6796 0.0
PV1NM 1W 6797 0.0
PV1NM 1W 6798 0.0
PV1NM 1W 6799 0.0331
PV1NM 1W 6800 0.0153
PV1NM 1W 6801 0.056
PV1NM 1W 6802 0.0846
PV1NM 1W 6803 0.0947
PV1NM 1W 6804 0.1311
PV1NM 1W 6805 0.1241
PV1NM 1W 6806 0.1075
PV1NM 1W 6807 0.0714
PV1NM 1W 6808 0.0152
PV1NM 1W 6809 0.0
PV1NM 1W 6810 0.0
PV1NM 1W 6811 0.0
PV1NM 1W 6812 0.0
PV1NM 1W 6813 0.0
PV1NM 1W 6814 0.0
PV1NM 1W 6815 0.0
PV1NM 1W 6816 0.0
PV1NM 1W 6817 0.0
PV1NM 1W 6818 0.0
PV1NM 1W 6819 0.0
PV1NM 1W 6820 0.0
PV1NM 1W 6821 0.0
PV1NM 1W 6822 0.0
PV1NM 1W 6823 0.0
PV1NM 1W 6824 0.0051
PV1NM 1W 6825 0.2504
PV1NM 1W 6826 0.3436
PV1NM 1W 6827 0.5445
PV1NM 1W 6828 0.4836
PV1NM 1W 6829 0.3328
PV1NM 1W 6830 0.1302
PV1NM 1W 6831 0.0608
PV1NM 1W 6832 0.0049
PV1NM 1W 6833 0.0325
PV1NM 1W 6834 0.0
PV1NM 1W 6835 0.0
PV1NM 1W 6836 0.0
PV1NM 1W 6837 0.0
PV1NM 1W 6838 0.0
PV1NM 1W 6839 0.0
PV1NM 1W 6840 0.0
PV1NM 1W 6841 0.0
PV1NM 1W 6842 0.0
PV1NM 1W 6843 0.0
PV1NM 1W 6844 0.0
PV1NM 1W 6845 0.0
PV1NM 1W 6846 0.0
PV1NM 1W 6847 0.0335
PV1NM 1W 6848 0.2103
PV1NM 1W 6849 0.4101
PV1NM 1W 6850 0.5567
PV1NM 1W 6851 0.6458
PV1NM 1W 6852 0.6812
PV1NM 1W 6853 0.6539
PV1NM 1W 6854 0.5839
PV1NM 1W 6855 0.4672
PV1NM 1W 6856 0.298
PV1NM 1W 6857 0.1041
PV1NM 1W 6858 0.0
PV1NM 1W 6859 0.0
PV1NM 1W 6860 0.0
PV1NM 1W 6861 0.0
PV1NM 1W 6862 0.0
PV1NM 1W 6863 0.0
PV1NM 1W 6864 0.0
PV1NM 1W 6865 0.0
PV1NM 1W 6866 0.0
PV1NM 1W 6867 0.0
PV1NM 1W 6868 0.0
PV1NM 1W 6869 0.0
PV1NM 1W 6870 0.0
PV1NM 1W 6871 0.0299
PV1NM 1W 6872 0.1245
PV1NM 1W 6873 0.2901
PV1NM 1W 6874 0.4274
PV1NM 1W 6875 0.415
PV1NM 1W 6876 0.5771
PV1NM 1W 6877 0.4267
PV1NM 1W 6878 0.3525
PV1NM 1W 6879 0.3166
PV1NM 1W 6880 0.1759
PV1NM 1W 6881 0.065
PV1NM 1W 6882 0.0
PV1NM 1W 6883 0.0
PV1NM 1W 6884 0.0
PV1NM 1W 6885 0.0
PV1NM 1W 6886 0.0
PV1NM 1W 6887 0.0
PV1NM 1W 6888 0.0
PV1NM 1W 6889 0.0
PV1NM 1W 6890 0.0
PV1NM 1W 6891 0.0
PV1NM 1W 6892 0.0
PV1NM 1W 6893 0.0
PV1NM 1W 6894 0.0
PV1NM 1W 6895 0.0275
PV1NM 1W 6896 0.192
PV1NM 1W 6897 0.3806
PV1NM 1W 6898 0.5239
PV1NM 1W 6899 0.6066
PV1NM 1W 6900 0.6439
PV1NM 1W 6901 0.6179
PV1NM 1W 6902 0.5519
PV1NM 1W 6903 0.4377
PV1NM 1W 6904 0.2728
PV1NM 1W 6905 0.0912
PV1NM 1W 6906 0.0
PV1NM 1W 6907 0.0
PV1NM 1W 6908 0.0
PV1NM 1W 6909 0.0
PV1NM 1W 6910 0.0
PV1NM 1W 6911 0.0
PV1NM 1W 6912 0.0
PV1NM 1W 6913 0.0
PV1NM 1W 6914 0.0
PV1NM 1W 6915 0.0
PV1NM 1W 6916 0.0
PV1NM 1W 6917 0.0
PV1NM 1W 6918 0.0
PV1NM 1W 6919 0.0271
PV1NM 1W 6920 0.1372
PV1NM 1W 6921 0.3328
PV1NM 1W 6922 0.4348
PV1NM 1W 6923 0.5193
PV1NM 1W 6924 0.6431
PV1NM 1W 6925 0.4874
PV1NM 1W 6926 0.2155
PV1NM 1W 6927 0.0654
PV1NM 1W 6928 0.1813
PV1NM 1W 6929 0.0467
PV1NM 1W 6930 0.0
PV1NM 1W 6931 0.0
PV1NM 1W 6932 0.0
PV1NM 1W 6933 0.0
PV1NM 1W 6934 0.0
PV1NM 1W 6935 0.0
PV1NM 1W 6936 0.0
PV1NM 1W 6937 0.0
PV1NM 1W 6938 0.0
PV1NM 1W 6939 0.0
PV1NM 1W 6940 0.0
PV1NM 1W 6941 0.0
PV1NM 1W 6942 0.0
PV1NM 1W 6943 0.0257
PV1NM 1W 6944 0.187
PV1NM 1W 6945 0.3714
PV1NM 1W 6946 0.5146
PV1NM 1W 6947 0.5956
PV1NM 1W 6948 0.6275
PV1NM 1W 6949 0.6041
PV1NM 1W 6950 0.5402
PV1NM 1W 6951 0.421
PV1NM 1W 6952 0.2595
PV1NM 1W 6953 0.0821
PV1NM 1W 6954 0.0
PV1NM 1W 6955 0.0
PV1NM 1W 6956 0.0
PV1NM 1W 6957 0.0
PV1NM 1W 6958 0.0
PV1NM 1W 6959 0.0
PV1NM 1W 6960 0.0
PV1NM 1W 6961 0.0
PV1NM 1W 6962 0.0
PV1NM 1W 6963 0.0
PV1NM 1W 6964 0.0
PV1NM 1W 6965 0.0
PV1NM 1W 6966 0.0
PV1NM 1W 6967 0.0112
PV1NM 1W 6968 0.1319
PV1NM 1W 6969 0.3621
PV1NM 1W 6970 0.3973
PV1NM 1W 6971 0.4717
PV1NM 1W 6972 0.4877
PV1NM 1W 6973 0.4626
PV1NM 1W 6974 0.4334
PV1NM 1W 6975 0.3095
PV1NM 1W 6976 0.1938
PV1NM 1W 6977 0.0684
PV1NM 1W 6978 0.0
PV1NM 1W 6979 0.0
PV1NM 1W 6980 0.0
PV1NM 1W 6981 0.0
PV1NM 1W 6982 0.0
PV1NM 1W 6983 0.0
PV1NM 1W 6984 0.0
PV1NM 1W 6985 0.0
PV1NM 1W 6986 0.0
PV1NM 1W 6987 0.0
PV1NM 1W 6988 0.0
PV1NM 1W 6989 0.0
PV1NM 1W 6990 0.0
PV1NM 1W 6991 0.0189
PV1NM 1W 6992 0.1284
PV1NM 1W 6993 0.3545
PV1NM 1W 6994 0.4947
PV1NM 1W 6995 0.5819
PV1NM 1W 6996 0.6223
PV1NM 1W 6997 0.6075
PV1NM 1W 6998 0.5335
PV1NM 1W 6999 0.4177
PV1NM 1W 7000 0.2539
PV1NM 1W 7001 0.0743
PV1NM 1W 7002 0.0
PV1NM 1W 7003 0.0
PV1NM 1W 7004 0.0
PV1NM 1W 7005 0.0
PV1NM 1W 7006 0.0
PV1NM 1W 7007 0.0
PV1NM 1W 7008 0.0
PV1NM 1W 7009 0.0
PV1NM 1W 7010 0.0
PV1NM 1W 7011 0.0
PV1NM 1W 7012 0.0
PV1NM 1W 7013 0.0
PV1NM 1W 7014 0.0
PV1NM 1W 7015 0.0
PV1NM 1W 7016 0.0077
PV1NM 1W 7017 0.0158
PV1NM 1W 7018 0.1161
PV1NM 1W 7019 0.0698
PV1NM 1W 7020 0.0953
PV1NM 1W 7021 0.1432
PV1NM 1W 7022 0.2608
PV1NM 1W 7023 0.2648
PV1NM 1W 7024 0.1761
PV1NM 1W 7025 0.0516
PV1NM 1W 7026 0.0
PV1NM 1W 7027 0.0
PV1NM 1W 7028 0.0
PV1NM 1W 7029 0.0
PV1NM 1W 7030 0.0
PV1NM 1W 7031 0.0
PV1NM 1W 7032 0.0
PV1NM 1W 7033 0.0
PV1NM 1W 7034 0.0
PV1NM 1W 7035 0.0
PV1NM 1W 7036 0.0
PV1NM 1W 7037 0.0
PV1NM 1W 7038 0.0
PV1NM 1W 7039 0.0
PV1NM 1W 7040 0.0238
PV1NM 1W 7041 0.1633
PV1NM 1W 7042 0.0741
PV1NM 1W 7043 0.0411
PV1NM 1W 7044 0.0418
PV1NM 1W 7045 0.1941
PV1NM 1W 7046 0.009
PV1NM 1W 7047 0.1744
PV1NM 1W 7048 0.0598
PV1NM 1W 7049 0.029
PV1NM 1W 7050 0.0
PV1NM 1W 7051 0.0
PV1NM 1W 7052 0.0
PV1NM 1W 7053 0.0
PV1NM 1W 7054 0.0
PV1NM 1W 7055 0.0
PV1NM 1W 7056 0.0
PV1NM 1W 7057 0.0
PV1NM 1W 7058 0.0
PV1NM 1W 7059 0.0
PV1NM 1W 7060 0.0
PV1NM 1W 7061 0.0
PV1NM 1W 7062 0.0
PV1NM 1W 7063 0.016
PV1NM 1W 7064 0.1799
PV1NM 1W 7065 0.2376
PV1NM 1W 7066 0.3963
PV1NM 1W 7067 0.3959
PV1NM 1W 7068 0.1487
PV1NM 1W 7069 0.3561
PV1NM 1W 7070 0.3093
PV1NM 1W 7071 0.3194
PV1NM 1W 7072 0.1008
PV1NM 1W 7073 0.0531
PV1NM 1W 7074 0.0
PV1NM 1W 7075 0.0
PV1NM 1W 7076 0.0
PV1NM 1W 7077 0.0
PV1NM 1W 7078 0.0
PV1NM 1W 7079 0.0
PV1NM 1W 7080 0.0
PV1NM 1W 7081 0.0
PV1NM 1W 7082 0.0
PV1NM 1W 7083 0.0
PV1NM 1W 7084 0.0
PV1NM 1W 7085 0.0
PV1NM 1W 7086 0.0
PV1NM 1W 7087 0.0
PV1NM 1W 7088 0.1827
PV1NM 1W 7089 0.3831
PV1NM 1W 7090 0.5393
PV1NM 1W 7091 0.6404
PV1NM 1W 7092 0.6795
PV1NM 1W 7093 0.6599
PV1NM 1W 7094 0.5811
PV1NM 1W 7095 0.4464
PV1NM 1W 7096 0.2654
PV1NM 1W 7097 0.0709
PV1NM 1W 7098 0.0
PV1NM 1W 7099 0.0
PV1NM 1W 7100 0.0
PV1NM 1W 7101 0.0
PV1NM 1W 7102 0.0
PV1NM 1W 7103 0.0
PV1NM 1W 7104 0.0
PV1NM 1W 7105 0.0
PV1NM 1W 7106 0.0
PV1NM 1W 7107 0.0
PV1NM 1W 7108 0.0
PV1NM 1W 7109 0.0
PV1NM 1W 7110 0.0
PV1NM 1W 7111 0.0
PV1NM 1W 7112 0.1635
PV1NM 1W 7113 0.2606
PV1NM 1W 7114 0.5057
PV1NM 1W 7115 0.5012
PV1NM 1W 7116 0.6376
PV1NM 1W 7117 0.6192
PV1NM 1W 7118 0.5483
PV1NM 1W 7119 0.4291
PV1NM 1W 7120 0.2514
PV1NM 1W 7121 0.0631
PV1NM 1W 7122 0.0
PV1NM 1W 7123 0.0
PV1NM 1W 7124 0.0
PV1NM 1W 7125 0.0
PV1NM 1W 7126 0.0
PV1NM 1W 7127 0.0
PV1NM 1W 7128 0.0
PV1NM 1W 7129 0.0
PV1NM 1W 7130 0.0
PV1NM 1W 7131 0.0
PV1NM 1W 7132 0.0
PV1NM 1W 7133 0.0
PV1NM 1W 7134 0.0
PV1NM 1W 7135 0.0
PV1NM 1W 7136 0.1595
PV1NM 1W 7137 0.3455
PV1NM 1W 7138 0.4918
PV1NM 1W 7139 0.5793
PV1NM 1W 7140 0.6151
PV1NM 1W 7141 0.5952
PV1NM 1W 7142 0.5243
PV1NM 1W 7143 0.4005
PV1NM 1W 7144 0.2312
PV1NM 1W 7145 0.0562
PV1NM 1W 7146 0.0
PV1NM 1W 7147 0.0
PV1NM 1W 7148 0.0
PV1NM 1W 7149 0.0
PV1NM 1W 7150 0.0
PV1NM 1W 7151 0.0
PV1NM 1W 7152 0.0
PV1NM 1W 7153 0.0
PV1NM 1W 7154 0.0
PV1NM 1W 7155 0.0
PV1NM 1W 7156 0.0
PV1NM 1W 7157 0.0
PV1NM 1W 7158 0.0
PV1NM 1W 7159 0.0
PV1NM 1W 7160 0.1058
PV1NM 1W 7161 0.1108
PV1NM 1W 7162 0.1739
PV1NM 1W 7163 0.6149
PV1NM 1W 7164 0.648
PV1NM 1W 7165 0.6349
PV1NM 1W 7166 0.5614
PV1NM 1W 7167 0.4326
PV1NM 1W 7168 0.2516
PV1NM 1W 7169 0.0616
PV1NM 1W 7170 0.0
PV1NM 1W 7171 0.0
PV1NM 1W 7172 0.0
PV1NM 1W 7173 0.0
PV1NM 1W 7174 0.0
PV1NM 1W 7175 0.0
PV1NM 1W 7176 0.0
PV1NM 1W 7177 0.0
PV1NM 1W 7178 0.0
PV1NM 1W 7179 0.0
PV1NM 1W 7180 0.0
PV1NM 1W 7181 0.0
PV1NM 1W 7182 0.0
PV1NM 1W 7183 0.0
PV1NM 1W 7184 0.0886
PV1NM 1W 7185 0.2664
PV1NM 1W 7186 0.4814
PV1NM 1W 7187 0.5587
PV1NM 1W 7188 0.5866
PV1NM 1W 7189 0.568
PV1NM 1W 7190 0.5104
PV1NM 1W 7191 0.3862
PV1NM 1W 7192 0.2233
PV1NM 1W 7193 0.0559
PV1NM 1W 7194 0.0
PV1NM 1W 7195 0.0
PV1NM 1W 7196 0.0
PV1NM 1W 7197 0.0
PV1NM 1W 7198 0.0
PV1NM 1W 7199 0.0
PV1NM 1W 7200 0.0
PV1NM 1W 7201 0.0
PV1NM 1W 7202 0.0
PV1NM 1W 7203 0.0
PV1NM 1W 7204 0.0
PV1NM 1W 7205 0.0
PV1NM 1W 7206 0.0
PV1NM 1W 7207 0.0
PV1NM 1W 7208 0.1506
PV1NM 1W 7209 0.331
PV1NM 1W 7210 0.4646
PV1NM 1W 7211 0.5487
PV1NM 1W 7212 0.5823
PV1NM 1W 7213 0.5636
PV1NM 1W 7214 0.5013
PV1NM 1W 7215 0.3811
PV1NM 1W 7216 0.2206
PV1NM 1W 7217 0.0531
PV1NM 1W 7218 0.0
PV1NM 1W 7219 0.0
PV1NM 1W 7220 0.0
PV1NM 1W 7221 0.0
PV1NM 1W 7222 0.0
PV1NM 1W 7223 0.0
PV1NM 1W 7224 0.0
PV1NM 1W 7225 0.0
PV1NM 1W 7226 0.0
PV1NM 1W 7227 0.0
PV1NM 1W 7228 0.0
PV1NM 1W 7229 0.0
PV1NM 1W 7230 0.0
PV1NM 1W 7231 0.0
PV1NM 1W 7232 0.15
PV1NM 1W 7233 0.3318
PV1NM 1W 7234 0.4639
PV1NM 1W 7235 0.5441
PV1NM 1W 7236 0.5764
PV1NM 1W 7237 0.5454
PV1NM 1W 7238 0.4807
PV1NM 1W 7239 0.3697
PV1NM 1W 7240 0.2101
